"","sentiment","n","percent"
"1","anger",21,5.74
"2","anticipation",53,14.48
"3","disgust",15,4.1
"4","fear",44,12.02
"5","joy",70,19.13
"6","sadness",26,7.1
"7","surprise",34,9.29
"8","trust",103,28.14
