"","X","text","n"
"1",1,"the river kennet",1488
"2",2,"flood alert river kennet",523
"3",3,"the best wedding",208
"4",4,"the kennet and avon canal",175
"5",5,"20 rb 511 190 hunterdon",119
"6",6,"the holy brook",119
"7",7,"the holy spirit",111
"8",8,"holy shit brook",108
"9",9,"the river avon",83
"10",10,"guided barbel fishing  river kennet handshire avon  dorset stourmiddle severn",81
"11",11,"howard columbia upenn",79
"12",12,"barbel fishing guide river kennet handshire avondorset",72
"13",13,"albany villanova stony brook monmouth",66
"14",14,"stony brook monmouth",65
"15",15,"the opening interest rutgers",65
"16",16,"the kennet river",63
"17",17,"holy shit brook lopez",62
"18",18,"st elon villanova holy cross stony brook new handshire",62
"19",19,"aften brook szymanski holy freaking mind",59
"20",20,"the best sequelif",58
"21",21,"holy moly kelly brook",49
"22",22,"the river thames",48
"23",23,"brook holy shit",43
"24",24,"the horse gate",42
"25",25,"all the fields",41
