"","X","text","n"
"1",1,"a  sandle",1
"2",2,"a civil parish",1
"3",3,"hence the four shires stone",1
"4",4,"kingham bledington milton shipton ascott charlbury fawler",1
"5",5,"the former rivername",1
"6",6,"the gloucestershire village",1
"7",7,"the name baldon",1
