"","sentiment","n","percent"
"1","anger",4427,5.84
"2","anticipation",16071,21.22
"3","disgust",3609,4.76
"4","fear",6609,8.72
"5","joy",14803,19.54
"6","sadness",6630,8.75
"7","surprise",8410,11.1
"8","trust",15194,20.06
