"","X","text","n"
"1",1,"the river cole",16514
"2",2,"the the river doctor emmet cole sticker",1065
"3",3,"the hudson river school",343
"4",4,"flood alert river cole",340
"5",5,"doctor emmet cole",164
"6",6,"normal river cole",121
"7",7,"shocking surprise video",116
"8",8,"kenneth cole reaction womens",115
"9",9,"real estate broker david cole",111
"10",10,"kenneth cole reaction",110
"11",11,"hudson river school artists",105
"12",12,"real estate specialist david cole",98
"13",13,"real estate specialist",96
"14",14,"an early piece",91
"15",15,"real estate agent",91
"16",16,"real estate agent david cole",91
"17",17,"the hudson river school thomas coles",91
"18",18,"the hudson river",90
"19",19,"real estate broker",89
"20",20,"nat king cole",88
"21",21,"1 episode 6 doctor emmet cole",78
"22",22,"greet wit",71
"23",23,"the connecticut river",67
"24",24,"interactive condo map",66
"25",25,"hudson river school",65
