"","X","text","n"
"1",1,"flood alert river leach",230
"2",2,"the river leach",87
"3",3,"the tennessee river",50
"4",4,"the flint river",49
"5",5,"a pirate ship",31
"6",6,"the flint river water",18
"7",7,"the mississippi river",16
"8",8,"the water supply",16
"9",9,"the fox river",12
"10",10,"the river valley",12
"11",11,"the heavy metal neurotoxin",11
"12",12,"the vol navy",11
"13",13,"extremely elevated levels",10
"14",14,"the drinking water",10
"15",15,"the river end",10
"16",16,"central district hall",9
"17",17,"the tn river",9
"18",18,"river valley baseball coach randy leach",8
"19",19,"the athabasca river",8
"20",20,"the pamlico river",8
"21",21,"truck washing operation",8
"22",22,"cand leach estates",7
"23",23,"flint river water",7
"24",24,"former leach receivers",7
"25",25,"normal river leach",7
