"","X","text","n"
"1",1,"spoon river anthology",773
"2",2,"harlem river driveamsterdam avenue manhattan",665
"3",3,"a  video",612
"4",4,"flood alert river ray",612
"5",5,"the<U+FFFD>river",601
"6",6,"the london markets",596
"7",7,"the river lee",596
"8",8,"the canadian river",555
"9",9,"the flood advisory",516
"10",10,"tom lee park",436
"11",11,"the mississippi river mississippi river",434
"12",12,"the mississippi river",418
"13",13,"george washington bridge upper level",410
"14",14,"new jersey side toll plaza fort",373
"15",15,"edgar lee masters",342
"16",16,"elk river mn",320
"17",17,"toms river",275
"18",18,"george washington bridge lower level",266
"19",19,"the han river",258
"20",20,"the 2018 bass classic",255
"21",21,"this savannah river impoundment",255
"22",22,"the hudson river",253
"23",23,"eastbound new jersey side toll plaza fort",231
"24",24,"lees riverside auto",224
"25",25,"the colorado river",222
