"","created_at","mean_senti"
"1",2007-04-06,0.5
"2",2007-05-13,1.25
"3",2007-06-10,0
"4",2007-07-28,2.65
"5",2007-08-15,-0.25
"6",2007-09-22,0
"7",2007-10-11,2.77555756156289e-17
"8",2007-10-13,1.5
"9",2007-10-18,-0.03
"10",2007-10-27,1.2
"11",2007-10-28,-0.05
"12",2007-11-14,0
"13",2007-11-24,-0.85
"14",2007-12-26,0.25
"15",2007-12-29,0
"16",2008-01-10,0
"17",2008-01-23,0
"18",2008-02-18,0
"19",2008-03-03,0
"20",2008-03-21,-2.35
"21",2008-03-29,0.8
"22",2008-04-03,0
"23",2008-04-05,0.75
"24",2008-04-08,0.8
"25",2008-04-16,0.9
"26",2008-04-18,0.5
"27",2008-04-23,0
"28",2008-04-26,0.125
"29",2008-05-01,1.4
"30",2008-05-18,-0.75
"31",2008-05-20,0.5
"32",2008-05-21,0.25
"33",2008-05-30,0.6
"34",2008-06-06,-0.75
"35",2008-06-19,0
"36",2008-06-22,-0.333333333333333
"37",2008-06-23,-0.407692307692308
"38",2008-06-24,0.1
"39",2008-06-29,0
"40",2008-07-13,0
"41",2008-07-17,0
"42",2008-07-24,0.45
"43",2008-07-27,0
"44",2008-08-02,0
"45",2008-08-13,0.25
"46",2008-08-21,0
"47",2008-08-25,0
"48",2008-08-28,0
"49",2008-08-31,-0.45
"50",2008-09-19,-0.75
"51",2008-09-25,0.1
"52",2008-09-29,0
"53",2008-10-01,-2.4
"54",2008-10-08,0.25
"55",2008-10-15,0.175
"56",2008-10-17,1.775
"57",2008-10-18,0.2125
"58",2008-10-20,0.25
"59",2008-10-23,-0.25
"60",2008-10-24,0.25
"61",2008-10-25,0.6
"62",2008-10-27,-0.75
"63",2008-10-31,0.1
"64",2008-11-01,0.6
"65",2008-11-03,1.45
"66",2008-11-05,0.3
"67",2008-11-06,0
"68",2008-11-08,0.6
"69",2008-11-15,0.6
"70",2008-11-20,-0.333333333333333
"71",2008-11-22,0.6
"72",2008-11-24,-0.1
"73",2008-11-29,0.6
"74",2008-12-01,1.35
"75",2008-12-03,0.4
"76",2008-12-06,0.35
"77",2008-12-07,0.75
"78",2008-12-09,0.05
"79",2008-12-12,0.6
"80",2008-12-13,0.6
"81",2008-12-14,-0.9
"82",2008-12-15,0
"83",2008-12-19,1.575
"84",2008-12-20,1.38333333333333
"85",2008-12-22,0
"86",2008-12-25,1.3
"87",2008-12-26,0.75
"88",2008-12-27,-0.075
"89",2009-01-03,0.216666666666667
"90",2009-01-04,-0.25
"91",2009-01-05,0.1
"92",2009-01-06,-0.3
"93",2009-01-09,0.5
"94",2009-01-10,0.6
"95",2009-01-14,-0.25
"96",2009-01-16,0.225
"97",2009-01-17,0.6
"98",2009-01-18,0.075
"99",2009-01-19,0.8
"100",2009-01-21,0
"101",2009-01-23,0.5
"102",2009-01-24,0.05
"103",2009-01-25,0.175
"104",2009-01-26,-0.5
"105",2009-01-27,0
"106",2009-01-28,0.15
"107",2009-01-31,0.6
"108",2009-02-01,0.1
"109",2009-02-05,-0.075
