"","sentiment","n","percent"
"1","anger",768,7.73
"2","anticipation",1840,18.53
"3","disgust",484,4.87
"4","fear",977,9.84
"5","joy",1839,18.52
"6","sadness",911,9.18
"7","surprise",881,8.87
"8","trust",2229,22.45
