"source","target","value"
"Agriculture and rural land management","Reservoir / Impoundment - non flow related",2
"Navigation","Reservoir / Impoundment - non flow related",1
"No sector responsible","North american signal crayfish",1
"Other","Barriers - ecological discontinuity",1
"Sector under investigation","Unknown (pending investigation)",1
"Water Industry","Sewage discharge (continuous)",2
