"","X","text","n"
"1",1,"the  stream bridge",2
"2",2,"the recent disruption",2
"3",3,"3m bridge",1
"4",4,"a small stream",1
"5",5,"a tiny stream",1
"6",6,"about 14m",1
"7",7,"farthinghoe farthinghoe united kingdom",1
"8",8,"the right bridge",1
"9",9,"zero visible signs",1
