"","sentiment","n","percent"
"1","anger",23,3.19
"2","anticipation",144,19.94
"3","disgust",16,2.22
"4","fear",35,4.85
"5","joy",144,19.94
"6","sadness",27,3.74
"7","surprise",50,6.93
"8","trust",283,39.2
