"","sentiment","n","percent"
"1","anger",8,3.59
"2","anticipation",54,24.22
"3","fear",12,5.38
"4","joy",37,16.59
"5","sadness",11,4.93
"6","surprise",17,7.62
"7","trust",84,37.67
