"source","target","value"
"Navigation","Inland boating and structures",1
"Sector under investigation","Unknown (pending investigation)",2
"Urban and transport","Urbanisation - urban development",1
"Water Industry","Sewage discharge (continuous)",1
"Water Industry","Sewage discharge (intermittent)",1
