"source","target","value"
"Agriculture and rural land management","Land use - arable",1
"Agriculture and rural land management","Poor nutrient management",3
"Agriculture and rural land management","Poor pesticide management",1
"Industry","Groundwater abstraction",1
"Navigation","Surface water abstraction",1
"No sector responsible","Natural conditions - other",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Urbanisation - urban development",1
"Water Industry","Leaking utility sewers",1
"Water Industry","Reservoir / Impoundment - non flow related",1
"Water Industry","Sewage discharge (continuous)",5
"Water Industry","Surface water abstraction",1
