"","sentiment","n","percent"
"1","anger",297,5.07
"2","anticipation",684,11.67
"3","disgust",200,3.41
"4","fear",826,14.09
"5","joy",627,10.69
"6","sadness",469,8
"7","surprise",2030,34.62
"8","trust",730,12.45
