"","X","text","n"
"1",1,"the london eye",5612
"2",2,"the thames river",3284
"3",3,"the london eye millennium wheel",2685
"4",4,"the river thames",1923
"5",5,"915 olentangy river",1648
"6",6,"london eye river cruise",1335
"7",7,"a close eye",1128
"8",8,"the ottawa river",944
"9",9,"a blind eye",900
"10",10,"picturesque birds eye view",897
"11",11,"a birds eye view",793
"12",12,"parlament london eye",661
"13",13,"the south bank",655
"14",14,"birds eye view",640
"15",15,"a giant ferris wheel",636
"16",16,"aerial view cityscape blackfriars bridge thames river",617
"17",17,"the london eye millennium",617
"18",18,"the mississippi river",434
"19",19,"a  video",397
"20",20,"the river bottom",363
"21",21,"a dark form",360
"22",22,"a river cruise",344
"23",23,"various river sites",340
"24",24,"eye river levels",327
"25",25,"a dead body",308
