"","sentiment","n","percent"
"1","anger",23626,9.07
"2","anticipation",42248,16.22
"3","disgust",18318,7.03
"4","fear",35145,13.49
"5","joy",37505,14.4
"6","sadness",33009,12.67
"7","surprise",21240,8.15
"8","trust",49433,18.97
