"","sentiment","n","percent"
"1","anger",16,8.33
"2","anticipation",39,20.31
"3","disgust",6,3.12
"4","fear",26,13.54
"5","joy",43,22.4
"6","sadness",13,6.77
"7","surprise",17,8.85
"8","trust",32,16.67
