"","mean_senti","Date"
"1",0.4,2010-06-01
"2",0.4,2010-09-01
"3",1.15,2012-03-01
"4",0.4,2012-05-01
"5",0.9,2012-08-01
"6",0.4,2013-06-01
"7",0.4,2014-07-01
"8",0.5,2016-02-01
"9",0.4,2016-06-01
"10",1.15,2017-05-01
"11",0.8,2017-07-01
"12",0.4,2018-01-01
"13",0.5,2018-04-01
"14",0.9,2018-06-01
"15",0.9,2018-07-01
"16",0.75,2019-01-01
"17",1.6,2019-07-01
"18",1.75,2019-09-01
"19",1.4,2019-12-01
"20",-0.1,2020-04-01
"21",0.9,2020-09-01
"22",-0.6,2020-11-01
"23",1.65,2020-12-01
"24",1.5,2021-04-01
"25",2.325,2021-05-01
