"","sentiment","n","percent"
"1","anger",4,2.15
"2","anticipation",44,23.66
"3","disgust",1,0.54
"4","fear",8,4.3
"5","joy",41,22.04
"6","sadness",4,2.15
"7","surprise",6,3.23
"8","trust",78,41.94
