"source","target","value"
"Agriculture and rural land management","Barriers - ecological discontinuity",1
"Agriculture and rural land management","Land drainage",1
"Agriculture and rural land management","Poor nutrient management",1
"Sector under investigation","Unknown (pending investigation)",1
"Water Industry","Sewage discharge (continuous)",1
