"source","target","value"
"Agriculture and rural land management","Poor nutrient management",1
"Domestic General Public","Septic Tanks",1
"Domestic General Public","Sewage discharge (continuous)",1
"Industry","Trade/Industry discharge",2
"Sector under investigation","Unknown (pending investigation)",1
