"","sentiment","n","percent"
"1","anger",152,5.55
"2","anticipation",584,21.33
"3","disgust",98,3.58
"4","fear",175,6.39
"5","joy",668,24.4
"6","sadness",212,7.74
"7","surprise",349,12.75
"8","trust",500,18.26
