"","sentiment","n","percent"
"1","anger",2010,6.28
"2","anticipation",6573,20.53
"3","disgust",1791,5.59
"4","fear",2589,8.09
"5","joy",6364,19.88
"6","sadness",2925,9.14
"7","surprise",3515,10.98
"8","trust",6251,19.52
