"source","target","value"
"Agriculture and rural land management","Poor Livestock Management",2
"Agriculture and rural land management","Poor nutrient management",2
"Sector under investigation","Unknown (pending investigation)",1
"Water Industry","Sewage discharge (continuous)",3
"Water Industry","Sewage discharge (intermittent)",2
