"","sentiment","n","percent"
"1","anger",10,6.8
"2","anticipation",37,25.17
"3","disgust",2,1.36
"4","fear",17,11.56
"5","joy",23,15.65
"6","sadness",9,6.12
"7","surprise",11,7.48
"8","trust",38,25.85
