"","X","text","n"
"1",1,"the georges river",6
"2",2,"sydney storm milperra",4
"3",3,"georgers river bridge",3
"4",4,"georges river flooding",3
"5",5,"its only water",3
"6",6,"its not a bushfire",2
"7",7,"new south wales",2
"8",8,"the evenlode bridge area",2
"9",9,"the georges river bridge",2
"10",10,"the river evenlode",2
"11",11,"<u+0001f468><u+200d><u+2695><u+fe0f> vet notes",1
"12",12,">  fire",1
"13",13,"1052  river and flooding forecast",1
"14",14,"13 apr 2019 duration",1
"15",15,"1328  river and flooding forecast",1
"16",16,"1331  river and flooding forecast",1
"17",17,"14 new skippers",1
"18",18,"2021 black prince",1
"19",19,"25 lame small abrasion",1
"20",20,"3 little dogs",1
"21",21,"43 whelan avenue",1
"22",22,"a  inscribed john george",1
"23",23,"a  oxcms",1
"24",24,"a 4 bedroom house brick home medium back yard bathroom kitchen",1
"25",25,"a beautiful river system",1
