"","X","text","n"
"1",1,"the great lakes",15
"2",2,"arial atlantic beach",9
"3",3,"belvedere bennettsville berea bethune bishopville blacksburg blackville blenheim",9
"4",4,"aynor bamberg barnwell batesburgleesville beaufort belton",8
"5",5,"the lakes",8
"6",6,"jrc hockey league",5
"7",7,"south carolina abbeville aiken allendale anderson andrews",5
"8",8,"their great lakes",5
"9",9,"allendale anderson andrews antreville",4
"10",10,"hidden blenheim palace tunnels",4
"11",11,"great lakes scores",3
"12",12,"the blenheim blades",3
"13",13,"the dresden kings",3
"14",14,"the lakes book",3
"15",15,"1768 artists impression",2
"16",16,"43c coldest town",2
"17",17,"a nice walk",2
"18",18,"a romantic valentines",2
"19",19,"bike blenheim palace",2
"20",20,"blenheim new zealand",2
"21",21,"blenheim palace",2
"22",22,"blenheim palace dredging project",2
"23",23,"blenheim palace lakes",2
"24",24,"c semifinal series",2
"25",25,"first aid kit",2
