"","sentiment","n","percent"
"1","anger",7,8.43
"2","anticipation",13,15.66
"3","disgust",5,6.02
"4","fear",14,16.87
"5","joy",9,10.84
"6","sadness",9,10.84
"7","surprise",8,9.64
"8","trust",18,21.69
