"","sentiment","n","percent"
"1","anger",349,5.47
"2","anticipation",1008,15.81
"3","disgust",370,5.8
"4","fear",1385,21.72
"5","joy",883,13.85
"6","sadness",584,9.16
"7","surprise",428,6.71
"8","trust",1369,21.47
