"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106037028181","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"2","GB106037028181","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"3","GB106037028181","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"4","GB106037028181","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"5","GB106037028181","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"6","GB106037028181","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"7","GB106037028181","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"8","GB106037028181","Urban and transport","Probable","Roads","Transport Drainage","Probable"
"9","GB106037028181","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"10","GB106037028181","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"11","GB106037028181","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"12","GB106037028181","No sector responsible","Not applicable","Not applicable","Natural conditions - other","Probable"
"13","GB106037028181","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"14","GB106037028181","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"15","GB106037028181","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"16","GB106037028181","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"17","GB106037028181","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"18","GB106037028181","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"19","GB106037028181","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"20","GB106037028181","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"21","GB106037028181","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"22","GB106037028181","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"23","GB106037028181","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"24","GB106037028181","Urban and transport","Confirmed","Not applicable","Urbanisation - urban development","Confirmed"
"25","GB106037028181","Urban and transport","Confirmed","Not applicable","Urbanisation - urban development","Confirmed"
"26","GB106037028181","Urban and transport","Confirmed","Not applicable","Flood protection - structures","Confirmed"
"27","GB106037028181","Urban and transport","Confirmed","Not applicable","Flood protection - structures","Confirmed"
