"","X","text","n"
"1",1,"breakfast briefing retail news",5
"2",2,"a river boat",2
"3",3,"shop direct and river island",2
"4",4,"the lenta summer bbq",2
"5",5,"13  regions",1
"6",6,"13 kazakhstan regions",1
"7",7,"15 oct 18  genre minimaltech housetechnoambient",1
"8",8,"6 passenger ships",1
"9",9,"8 funes mori",1
"10",10,"a contract soldier",1
"11",11,"a crocodile swimming",1
"12",12,"a local river",1
"13",13,"a river quee",1
"14",14,"a surprising genus",1
"15",15,"acute  deficit",1
"16",16,"alaska birch betula neoalaskana mountain paper birch betula cordifolia",1
"17",17,"albosinensis ermanii lenta",1
"18",18,"an exotic animal farm",1
"19",19,"andré kertész",1
"20",20,"building temporary bridges",1
"21",21,"cherry birch betula lenta",1
"22",22,"comment mini cruise ship sinks",1
"23",23,"de morrissey moon river",1
"24",24,"emergency services video",1
"25",25,"en el bar de downtown en river city girls suena yuna version",1
