"source","target","value"
"Agriculture and rural land management","Farm/site infrastructure",1
"Agriculture and rural land management","Poor soil management",1
"Sector under investigation","Unknown (pending investigation)",2
"Water Industry","Groundwater abstraction",1
"Water Industry","Sewage discharge (continuous)",3
