"source","target","value"
"Agriculture and rural land management","Other (not in list, must add details in comments)",1
"Agriculture and rural land management","Poor Livestock Management",1
"Domestic General Public","Septic Tanks",1
"Mining and quarrying","Quarry",1
"No sector responsible","Drought",1
"No sector responsible","Low Flow (not drought)",1
"No sector responsible","Natural conditions - other",1
"Sector under investigation","Unknown (pending investigation)",1
"Water Industry","Groundwater abstraction",1
