"","X","text","n"
"1",1,"suwannee blackwater river",3294
"2",2,"the blackwater river",3105
"3",3,"the river blackwater",2358
"4",4,"blue lick mo",2239
"5",5,"the flood warning",1081
"6",6,"valley city mo",994
"7",7,"river info blackwater r",607
"8",8,"the loddon river",496
"9",9,"the river loddon",433
"10",10,"observation  blvm7  blackwater river",425
"11",11,"blue lick missouri flood stage",424
"12",12,"the cove brook",410
"13",13,"the blackwater river bridge",402
"14",14,"possible high winds",385
"15",15,"the following streams blackwater river",377
"16",16,"flood alert river blackwater",339
"17",17,"blackwater river state park",317
"18",18,"blackwater river state forest",300
"19",19,"the following rivers",273
"20",20,"minor fs crest",272
"21",21,"the river thames confluence",271
"22",22,"river info blackwater r nr valley city mo 1nw",259
"23",23,"flood alert lower river loddon",254
"24",24,"santa rosa county",204
"25",25,"lower river loddon",199
