"source","target","value"
"Domestic General Public","Misconnections",1
"Local and Central Government","Other (not in list, must add details in comments)",1
"No sector responsible","Natural mineralisation",1
"No sector responsible","North american signal crayfish",1
"Other","Reservoir / Impoundment - non flow related",1
"Recreation","Other (not in list, must add details in comments)",1
"Sector under investigation","Unknown (pending investigation)",1
"Urban and transport","Other (not in list, must add details in comments)",1
"Urban and transport","Transport Drainage",1
"Urban and transport","Urbanisation - urban development",1
