"","created_at","mean_senti"
"1",2009-08-29,0.5
"2",2010-04-24,0.125
"3",2010-11-19,0.5
"4",2010-12-29,0
"5",2011-06-29,0.1
"6",2011-07-10,0.1
"7",2011-09-05,0
"8",2011-10-05,1.025
"9",2012-02-15,0
"10",2012-03-19,0.8
"11",2012-04-17,0
"12",2012-05-15,3.05
"13",2012-05-21,1.2
"14",2012-08-17,0
"15",2012-10-27,0
"16",2012-11-21,0
"17",2012-11-25,-0.3
"18",2012-12-27,0
"19",2013-01-18,2.45
"20",2013-04-07,0.25
"21",2013-04-09,0
"22",2013-06-26,0.75
"23",2013-07-01,0.8
"24",2013-07-13,0
"25",2013-08-22,0
"26",2013-08-31,0.8
"27",2013-09-01,0.5
"28",2013-09-02,0.5
"29",2013-12-28,0
"30",2014-03-21,0.6
"31",2014-04-19,0
"32",2014-06-25,0
"33",2014-06-26,0.4
"34",2014-07-01,0
"35",2014-07-25,0
"36",2014-08-06,0
"37",2014-08-07,-1
"38",2014-08-10,0
"39",2015-01-27,0
"40",2015-03-06,1.6
"41",2015-04-15,0
"42",2015-08-13,0
"43",2015-12-31,-0.25
"44",2016-01-01,-0.25
"45",2016-01-02,-0.25
"46",2016-01-03,-0.25
"47",2016-01-04,-0.25
"48",2016-01-05,-0.25
"49",2016-01-06,-0.25
"50",2016-01-07,-0.25
"51",2016-01-08,-0.25
"52",2016-01-09,-0.25
"53",2016-01-10,-0.25
"54",2016-01-11,-0.25
"55",2016-01-12,-0.25
"56",2016-01-13,-0.25
"57",2016-01-14,-0.366666666666667
"58",2016-01-29,0
"59",2016-02-06,-0.25
"60",2016-02-07,-0.25
"61",2016-02-08,-0.25
"62",2016-02-09,-0.25
"63",2016-02-10,-0.25
"64",2016-02-11,-0.366666666666667
"65",2016-03-09,-0.25
"66",2016-03-10,-0.25
"67",2016-03-11,-0.366666666666667
"68",2016-03-28,-0.25
"69",2016-03-29,-0.25
"70",2016-03-30,-0.25
"71",2016-03-31,-0.366666666666667
"72",2016-05-09,0.6
"73",2016-05-11,-0.25
"74",2016-05-12,-0.25
"75",2016-05-13,-0.25
"76",2016-05-14,-0.425
"77",2016-05-17,-0.15
"78",2016-05-22,0
"79",2016-06-17,0.75
"80",2017-01-31,0.1
"81",2017-02-22,0.5
"82",2017-03-07,0
"83",2017-03-12,0
"84",2017-05-26,0.5
"85",2017-06-09,0
"86",2017-06-24,0.75
"87",2017-07-21,1.35
"88",2017-08-30,0.5
"89",2017-09-05,0.5
"90",2017-12-15,0.5
"91",2017-12-26,-0.25
"92",2017-12-27,-0.25
"93",2017-12-28,-0.25
"94",2017-12-29,-0.25
"95",2017-12-30,-0.125
"96",2018-01-03,-0.25
"97",2018-01-04,-0.25
"98",2018-01-05,-0.125
"99",2018-01-21,-0.25
"100",2018-01-22,-0.25
"101",2018-01-23,-0.125
"102",2018-02-20,0
"103",2018-02-22,0
"104",2018-03-24,3.85
"105",2018-03-30,-0.25
"106",2018-03-31,-0.25
"107",2018-04-01,-0.416666666666667
"108",2018-04-02,0.1
"109",2018-04-03,-0.25
"110",2018-04-04,0
"111",2018-04-20,0
"112",2018-04-27,0
"113",2018-05-26,-0.25
"114",2018-05-27,-0.25
"115",2018-05-28,-0.25
"116",2018-05-29,-0.25
"117",2018-05-30,0
"118",2018-06-05,0
"119",2018-08-19,0
"120",2018-09-25,0.75
"121",2018-10-14,0.75
"122",2019-01-07,0.4
"123",2019-01-15,0
"124",2019-03-08,1.7
"125",2019-04-10,0.4
"126",2019-05-10,0
"127",2019-07-06,0
"128",2019-07-23,-1
"129",2019-08-18,0.4
"130",2019-08-21,-0.35
"131",2019-09-23,0.85
"132",2019-10-12,2.65
"133",2019-10-13,-0.25
"134",2019-10-14,-0.25
"135",2019-10-15,-0.25
"136",2019-10-16,-0.25
"137",2019-10-17,-0.25
"138",2019-10-18,0
"139",2019-10-21,-0.25
"140",2019-10-27,-0.25
"141",2019-10-28,-0.125
"142",2019-11-03,-0.25
"143",2019-11-04,-0.25
"144",2019-11-05,-0.25
"145",2019-11-06,-0.25
"146",2019-11-07,-0.25
"147",2019-11-08,-0.25
"148",2019-11-09,-0.25
"149",2019-11-10,-0.25
"150",2019-11-11,-0.25
"151",2019-11-12,-0.25
"152",2019-11-13,-0.25
"153",2019-11-14,-0.25
"154",2019-11-15,-0.25
"155",2019-11-16,-0.25
"156",2019-11-17,-0.25
"157",2019-11-18,-0.25
"158",2019-11-19,-0.25
"159",2019-11-20,0
"160",2019-11-23,1.5
"161",2019-12-13,-0.25
"162",2019-12-14,-0.25
"163",2019-12-15,-0.25
"164",2019-12-16,-0.25
"165",2019-12-17,-0.25
"166",2019-12-18,0.616666666666667
"167",2019-12-19,-0.125
"168",2019-12-20,-0.25
"169",2019-12-21,-0.25
"170",2019-12-22,-0.25
"171",2019-12-23,-0.25
"172",2019-12-24,-0.25
"173",2019-12-25,-0.55
"174",2020-01-14,-0.125
"175",2020-01-15,-0.25
"176",2020-01-16,-0.25
"177",2020-01-17,-0.25
"178",2020-01-18,-0.25
"179",2020-01-19,-0.45
"180",2020-02-15,-0.125
"181",2020-02-16,-0.25
"182",2020-02-17,-0.25
"183",2020-02-18,-0.25
"184",2020-02-19,-0.25
"185",2020-02-20,-0.55
"186",2020-02-28,-0.25
"187",2020-02-29,-0.25
"188",2020-03-01,-0.25
"189",2020-03-02,-0.25
"190",2020-03-03,-0.25
"191",2020-03-04,-0.55
"192",2020-03-18,0
"193",2020-06-18,-1.9
"194",2020-07-06,0
"195",2020-08-12,0
"196",2020-08-18,0
"197",2020-12-15,0
"198",2020-12-18,1
"199",2021-01-21,-0.25
"200",2021-01-22,0
"201",2021-01-30,-0.25
"202",2021-01-31,0
"203",2021-02-04,0.4
"204",2021-03-11,0.9
"205",2021-03-30,0
"206",2021-04-09,0
"207",2021-04-20,1.55
"208",2021-05-02,0
"209",2021-05-04,0
"210",2021-05-18,0.8
"211",2021-05-19,-0.4
