"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB530603911402","Local and Central Government","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"2","GB530603911402","Local and Central Government","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"3","GB530603911402","Industry","Suspected","Other industry, manufacturing and Business","Contaminated land","Suspected"
"4","GB530603911402","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
"5","GB530603911402","Local and Central Government","Probable","Environment, Farming, Rural","Land drainage - structures","Probable"
"6","GB530603911402","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
"7","GB530603911402","Sector under investigation","Not applicable","Not applicable","Unknown (pending investigation)","Not applicable"
"8","GB530603911402","Waste treatment and disposal","Suspected","Landfill - Non hazardous landfill","Landfill leaching","Suspected"
"9","GB530603911402","Water Industry","Probable","Waste water treatment","Sewage discharge (continuous)","Probable"
"10","GB530603911402","Urban and transport","Probable","Urban","Contaminated water body bed sediments","Probable"
"11","GB530603911402","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"12","GB530603911402","Navigation","Suspected","Inland Waterways","Use of restricted substance","Suspected"
