"","X","text","n"
"1",1,"4 executive houses",1
"2",2,"a leak stinks",1
"3",3,"a popular restaurant",1
"4",4,"adjoining brook cottage",1
"5",5,"an evening stroll",1
"6",6,"brook house parents",1
"7",7,"cannington village 15th century church",1
"8",8,"even the darkest night",1
"9",9,"lydiard park church",1
"10",10,"stone lane lydiard millicent",1
"11",11,"the <u+0001f41f><u+0001f420><u+0001f990><u+0001f41a><u+0001f433",1
"12",12,"the 18th century",1
"13",13,"the lost forest",1
"14",14,"the lydiard brook",1
"15",15,"the lydiard chronicles",1
"16",16,"the lydiard estate",1
"17",17,"the st john family",1
