"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039023310","No sector responsible","Not applicable","Not applicable","Natural conditions - other","Probable"
"2","GB106039023310","No sector responsible","Not applicable","Not applicable","Natural conditions - other","Probable"
"3","GB106039023310","Other","Probable","Not applicable","Land drainage - operational management","Probable"
"4","GB106039023310","Agriculture and rural land management","Suspected","","Land drainage - operational management","Suspected"
"5","GB106039023310","Urban and transport","Suspected","Urban","Urbanisation - urban development","Suspected"
"6","GB106039023310","Urban and transport","Suspected","Urban","Urbanisation - urban development","Suspected"
"7","GB106039023310","No sector responsible","Not applicable","Not applicable","Drought","Suspected"
"8","GB106039023310","Domestic General Public","Suspected","Domestic/General public","Septic Tanks","Suspected"
"9","GB106039023310","Agriculture and rural land management","Suspected","Not applicable","Other (not in list, must add details in comments)","Suspected"
"10","GB106039023310","Domestic General Public","Suspected","Not applicable","Sewage discharge (continuous)","Suspected"
