"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039022940","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"2","GB106039022940","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"3","GB106039022940","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"4","GB106039022940","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"5","GB106039022940","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"6","GB106039022940","Urban and transport","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"7","GB106039022940","Local and Central Government","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"8","GB106039022940","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
"9","GB106039022940","Domestic General Public","Confirmed","Not applicable","Misconnections","Confirmed"
"10","GB106039022940","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"11","GB106039022940","Domestic General Public","Probable","Domestic/General public","Misconnections","Probable"
"12","GB106039022940","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"13","GB106039022940","Urban and transport","Confirmed","Not applicable","Urbanisation - urban development","Confirmed"
"14","GB106039022940","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"15","GB106039022940","Urban and transport","Confirmed","Not applicable","Flood protection - structures","Confirmed"
"16","GB106039022940","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"17","GB106039022940","Urban and transport","Probable","Urban","Urbanisation - urban development","Probable"
