"","X","text","n"
"1",1,"st johns river",329
"2",2,"the river bank",239
"3",3,"the album planet",202
"4",4,"ru standup comic material move",179
"5",5,"flood alert river whitewater and river hart",170
"6",6,"the river walk",108
"7",7,"the white hart",94
"8",8,"white hart lane",91
"9",9,"the detroit river",89
"10",10,"the hart bridge",73
"11",11,"$399 visit",67
"12",12,"the same actor",63
"13",13,"the kern river",60
"14",14,"the ohio river",58
"15",15,"the east river crossing",55
"16",16,"£65m pair arsenal target",51
"17",17,"rumour gossip man",49
"18",18,"the périgord noir",46
"19",19,"april 2018 cologne",44
"20",20,"june 2018 cologne",42
"21",21,"a few mins",39
"22",22,"so virgin river",39
"23",23,"the river listen",39
"24",24,"your song sunglasses",39
"25",25,"the river center",38
