"","sentiment","n","percent"
"1","anger",85,6.65
"2","anticipation",316,24.73
"3","disgust",44,3.44
"4","fear",105,8.22
"5","joy",215,16.82
"6","sadness",79,6.18
"7","surprise",148,11.58
"8","trust",286,22.38
