"source","target","value"
"Agriculture and rural land management","Poor nutrient management",1
"No sector responsible","North american signal crayfish",1
"Other","Barriers - ecological discontinuity",1
"Other","Impoundment - u/s elevated water level",1
"Other","Reservoir / Impoundment - non flow related",1
"Sector under investigation","Unknown (pending investigation)",1
"Water Industry","Sewage discharge (continuous)",1
