"","created_at","mean_senti"
"1",2010-02-17,0.55
"2",2010-02-20,1
"3",2011-02-21,-1
"4",2011-03-09,0
"5",2011-07-26,-0.75
"6",2011-08-10,0
"7",2011-09-20,0
"8",2012-05-24,1.95
"9",2012-08-21,0.85
"10",2012-08-30,0
"11",2012-09-03,-0.5
"12",2012-09-05,0.0416666666666667
"13",2013-02-24,0
"14",2013-03-04,0
"15",2013-03-23,0
"16",2013-03-24,0
"17",2013-04-03,0
"18",2013-04-12,1.3
"19",2013-04-25,0.6
"20",2013-05-05,0
"21",2013-05-11,0.6
"22",2013-07-18,0.15
"23",2013-07-21,-0.4
"24",2013-08-01,0.783333333333333
"25",2013-08-02,0.8
"26",2013-08-24,0.75
"27",2013-09-09,0.3
"28",2013-11-14,1.35
"29",2014-02-22,0
"30",2014-04-04,0.8
"31",2014-05-22,0.25
"32",2014-05-27,0
"33",2014-06-01,0.75
"34",2014-06-02,0
"35",2014-07-30,1.05
"36",2014-08-03,0
"37",2014-11-01,0
"38",2014-11-08,0
"39",2014-12-17,0
"40",2015-01-10,0.4
"41",2015-03-10,0
"42",2015-04-17,2.5
"43",2015-05-22,0.5
"44",2015-05-26,0
"45",2015-07-11,0.6
"46",2015-07-31,0
"47",2015-08-01,-0.15
"48",2015-08-11,-0.25
"49",2015-09-23,0.5
"50",2015-11-06,1.7
"51",2015-11-14,0
"52",2015-11-16,0.1
"53",2015-11-27,0.5
"54",2016-03-20,0
"55",2016-03-27,0.5
"56",2016-04-04,0
"57",2016-05-14,0
"58",2016-05-17,0
"59",2016-06-08,0.1
"60",2016-07-05,0
"61",2016-07-06,0
"62",2016-08-24,0.166666666666667
"63",2016-08-29,-0.65
"64",2016-08-30,0
"65",2016-08-31,0
"66",2016-09-04,0
"67",2016-09-18,0
"68",2016-10-12,-0.25
"69",2016-11-22,0.35
"70",2016-12-02,0.1
"71",2016-12-05,0
"72",2016-12-09,0.75
"73",2017-01-26,0
"74",2017-02-06,0.6
"75",2017-02-18,-1.25
"76",2017-02-24,0
"77",2017-02-25,0
"78",2017-03-10,0
"79",2017-03-29,0.25
"80",2017-04-30,0
"81",2017-05-13,0
"82",2017-05-16,-1
"83",2017-06-16,-0.4
"84",2017-07-11,0
"85",2017-08-02,0.4
"86",2017-08-18,-0.25
"87",2017-10-08,1.1
"88",2017-10-13,0
"89",2017-10-29,0
"90",2017-11-13,0
"91",2017-11-20,0.6
"92",2017-11-21,-0.9
"93",2017-11-27,1.5
"94",2017-11-28,0.5
"95",2017-12-10,2.8
"96",2017-12-13,0
"97",2017-12-14,0.95
"98",2018-01-01,0
"99",2018-01-06,0.25
"100",2018-01-16,-1
"101",2018-01-23,0
"102",2018-01-28,0.25
"103",2018-02-11,0
"104",2018-02-21,-0.25
"105",2018-02-23,0.1
"106",2018-02-28,0.25
"107",2018-03-29,0
"108",2018-04-04,2.25
"109",2018-04-14,-0.25
"110",2018-04-19,0
"111",2018-04-22,0
"112",2018-05-17,0.2
"113",2018-05-31,0.05
"114",2018-06-01,1
"115",2018-06-02,0.5
"116",2018-06-08,0
"117",2018-06-12,1.85
"118",2018-06-21,-0.166666666666667
"119",2018-06-24,0.25
"120",2018-07-16,1.1
"121",2018-08-31,0.55
"122",2018-09-04,1.15
"123",2018-09-13,0.25
"124",2018-09-14,1.9
"125",2018-10-15,1.8
"126",2018-10-25,0
"127",2018-11-10,0.6
"128",2018-11-21,0
"129",2018-11-24,0
"130",2018-11-25,0.5
"131",2018-11-27,0
"132",2018-11-28,-0.1
"133",2019-01-05,0
"134",2019-01-08,0.8
"135",2019-01-10,-0.3
"136",2019-01-11,0
"137",2019-01-15,0.8
"138",2019-03-08,0.75
"139",2019-03-24,-0.5
"140",2019-03-26,0.35
"141",2019-03-28,0
"142",2019-04-01,0.6
"143",2019-04-05,0.25
"144",2019-06-06,0
"145",2019-06-25,0.25
"146",2019-07-23,0
"147",2019-08-13,0
"148",2019-08-24,0
"149",2019-08-28,1.1
"150",2019-10-03,0.5
"151",2019-10-09,0
"152",2019-10-15,1.1
"153",2019-10-30,2
"154",2019-11-07,0.6
"155",2020-01-02,0.3
"156",2020-01-05,-1.6
"157",2020-01-13,0.15
"158",2020-01-15,-0.65
"159",2020-01-18,-0.25
"160",2020-01-19,-0.25
"161",2020-01-21,0.55
"162",2020-01-29,-0.25
"163",2020-02-09,-0.1
"164",2020-03-03,-0.25
"165",2020-03-06,0
"166",2020-03-17,0
"167",2020-03-19,0.8
"168",2020-04-15,0
"169",2020-05-05,1.75
"170",2020-05-11,0.5
"171",2020-06-18,1.35
"172",2020-06-27,0.75
"173",2020-07-26,0
"174",2020-07-31,0.6
"175",2020-08-08,-0.075
"176",2020-08-10,0.5
"177",2020-08-27,0.2
"178",2020-08-31,2
"179",2020-09-17,0
"180",2020-10-15,0
"181",2020-11-26,0.75
"182",2020-11-30,0.5
"183",2020-12-02,0.75
"184",2020-12-15,0.6
"185",2021-02-21,0.65
"186",2021-02-22,-0.75
"187",2021-03-03,-0.4
"188",2021-03-04,0
"189",2021-03-14,-1
"190",2021-03-18,0.95
"191",2021-03-29,0.85
"192",2021-04-30,-0.25
"193",2021-05-01,-0.7
"194",2021-05-04,2.1
"195",2021-05-13,0.75
"196",2021-05-27,0
"197",2021-06-02,0
"198",2021-06-07,1.4
"199",2021-06-10,0.75
"200",2021-06-18,1.15
"201",2021-06-19,0.5
"202",2021-06-21,0.5
"203",2021-06-30,0.5
"204",2021-07-12,0
"205",2021-08-14,1.1
