"","sentiment","n","percent"
"1","anger",22,5.88
"2","anticipation",74,19.79
"3","disgust",18,4.81
"4","fear",35,9.36
"5","joy",68,18.18
"6","sadness",38,10.16
"7","surprise",34,9.09
"8","trust",85,22.73
