"","X","text","n"
"1",1,"the river rom",196
"2",2,"1 hour tharom",107
"3",3,"royal ontario museum",52
"4",4,"the river avon historical romance",48
"5",5,"river blue whale",32
"6",6,"a novel joy",31
"7",7,"mad river road",31
"8",8,"cold river carla neggers",28
"9",9,"1 hour tharomeng",23
"10",10,"a virgin river novel robyn carr",22
"11",11,"river road ross joann callahan brothers trilogy",21
"12",12,"mira s kathleen eagle",20
"13",13,"the river kathleen e woodiwiss",20
"14",14,"the ranch harleq",17
"15",15,"a rom com",15
"16",16,"river city ransom",15
"17",17,"river rising dorothy garlock",14
"18",18,"the river shadows series",13
"19",19,"a  video",12
"20",20,"fox river emilie richards",10
"21",21,"temptation ridge virgin river trilogy",10
"22",22,"virgin river series wild man creek robyn carr",10
"23",23,"a virgin river novel",9
"24",24,"operation flashpoint red river pc",9
"25",25,"river john hart",9
