"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106037028120","Urban and transport","Probable","Urban","Contaminated land","Probable"
"2","GB106037028120","Urban and transport","Probable","Urban","Contaminated land","Probable"
"3","GB106037028120","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"4","GB106037028120","Urban and transport","Probable","Roads","Transport Drainage","Probable"
"5","GB106037028120","Urban and transport","Probable","Roads","Transport Drainage","Probable"
"6","GB106037028120","Agriculture and rural land management","Probable","Not applicable","Private Sewage Treatment","Probable"
"7","GB106037028120","Agriculture and rural land management","Confirmed","Agriculture - Arable","Poor soil management","Confirmed"
"8","GB106037028120","Agriculture and rural land management","Suspected","Roads","Track/rural road","Suspected"
"9","GB106037028120","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"10","GB106037028120","No sector responsible","Not applicable","Not applicable","Not applicable","Not applicable"
"11","GB106037028120","Agriculture and rural land management","Suspected","Roads","Track/rural road","Suspected"
"12","GB106037028120","Agriculture and rural land management","Probable","Not applicable","Private Sewage Treatment","Probable"
"13","GB106037028120","Urban and transport","Confirmed","Not applicable","Urbanisation - urban development","Confirmed"
"14","GB106037028120","Urban and transport","Confirmed","Not applicable","Urbanisation - urban development","Confirmed"
"15","GB106037028120","Other","Probable","Not applicable","Barriers - ecological discontinuity","Probable"
"16","GB106037028120","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"17","GB106037028120","Urban and transport","Probable","Roads","Transport Drainage","Probable"
"18","GB106037028120","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"19","GB106037028120","Urban and transport","Suspected","Roads","Transport Drainage","Suspected"
"20","GB106037028120","Agriculture and rural land management","Probable","Not applicable","Private Sewage Treatment","Probable"
"21","GB106037028120","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"22","GB106037028120","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"23","GB106037028120","Agriculture and rural land management","Probable","Not applicable","Private Sewage Treatment","Probable"
"24","GB106037028120","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
