"source","target","value"
"Agriculture and rural land management","Poor nutrient management",2
"Other","Barriers - ecological discontinuity",1
"Sector under investigation","Unknown (pending investigation)",1
"Water Industry","Sewage discharge (continuous)",2
"Water Industry","Sewage discharge (intermittent)",1
