"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106040018181","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"2","GB106040018181","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
