"","sentiment","n","percent"
"1","anger",83,6.55
"2","anticipation",345,27.23
"3","disgust",61,4.81
"4","fear",118,9.31
"5","joy",203,16.02
"6","sadness",84,6.63
"7","surprise",103,8.13
"8","trust",270,21.31
