"","X","text","n"
"1",1,"south east england",22
"2",2,"the penny brook hotel",10
"3",3,"summer cand sessions",9
"4",4,"stratford city development",8
"5",5,"clear brook garrison",7
"6",6,"long brook park",7
"7",7,"a planning application",5
"8",8,"the chinn brook nature reserve",5
"9",9,"the stratfordonavon canal",5
"10",10,"willow brook park",5
"11",11,"156 stratford court stratford court",4
"12",12,"brook street bureau",4
"13",13,"early bird discount",4
"14",14,"high school football",4
"15",15,"payroll software implementation consultant brook street bureau  stratford",4
"16",16,"stratford city opening",4
"17",17,"the new look store",4
"18",18,"135  valley brook  terrace stratford",3
"19",19,"a midsummer nights",3
"20",20,"a school trip",3
"21",21,"atascocita shadow creek",3
"22",22,"brook lodge guest house stratforduponavon",3
"23",23,"brook rd birmingham | stratford",3
"24",24,"ccisd challenger columbia stadium",3
"25",25,"chinn brook nature",3
