"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106037028170","Urban and transport","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"2","GB106037028170","Local and Central Government","Confirmed","Not applicable","Other (not in list, must add details in comments)","Confirmed"
"3","GB106037028170","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"4","GB106037028170","Urban and transport","Suspected","Roads","Transport Drainage","Suspected"
"5","GB106037028170","Urban and transport","Suspected","Urban","Incidents","Suspected"
"6","GB106037028170","Urban and transport","Confirmed","Other (not in list)","Landfill leaching","Confirmed"
"7","GB106037028170","Urban and transport","Suspected","Urban","Incidents","Suspected"
"8","GB106037028170","Domestic General Public","Probable","Not applicable","Misconnections","Probable"
"9","GB106037028170","Urban and transport","Suspected","Urban","Incidents","Suspected"
"10","GB106037028170","Urban and transport","Suspected","Urban","Urbanisation - urban development","Suspected"
"11","GB106037028170","Urban and transport","Suspected","Roads","Transport Drainage","Suspected"
"12","GB106037028170","Domestic General Public","Suspected","Not applicable","Misconnections","Suspected"
"13","GB106037028170","Urban and transport","Confirmed","Not applicable","Flood protection - structures","Confirmed"
"14","GB106037028170","Urban and transport","Confirmed","Not applicable","Urbanisation - urban development","Confirmed"
"15","GB106037028170","Urban and transport","Confirmed","Not applicable","Flood protection - structures","Confirmed"
"16","GB106037028170","Urban and transport","Confirmed","Not applicable","Urbanisation - urban development","Confirmed"
