"","sentiment","n","percent"
"1","anger",4,4.94
"2","anticipation",24,29.63
"3","disgust",8,9.88
"4","fear",8,9.88
"5","joy",12,14.81
"6","sadness",6,7.41
"7","surprise",4,4.94
"8","trust",15,18.52
