"","mean_senti","Date"
"1",1.05,2010-01-01
"2",0.8,2012-03-01
"3",0.5,2013-04-01
"4",0.7,2013-05-01
"5",1,2013-10-01
"6",0.725,2014-03-01
"7",0.5,2014-10-01
"8",0.5,2015-06-01
"9",1,2016-04-01
"10",1.35,2016-07-01
"11",0.75,2016-12-01
"12",1.625,2017-05-01
"13",2.65,2017-06-01
"14",1.25,2017-07-01
"15",0.675,2017-12-01
"16",1.25,2018-01-01
"17",1.2,2018-03-01
"18",1.6,2018-04-01
"19",2.9,2018-05-01
"20",0,2018-08-01
"21",0.95,2018-09-01
"22",2.6,2018-12-01
"23",1.28333333333333,2019-05-01
"24",1.65,2019-10-01
"25",0.2,2020-01-01
"26",1.9,2020-04-01
"27",-0.175,2020-06-01
"28",0.366666666666667,2020-08-01
"29",0,2020-10-01
"30",1.5,2020-12-01
"31",2.25,2021-01-01
