"","sentiment","n","percent"
"1","anger",4,2.94
"2","anticipation",36,26.47
"3","disgust",3,2.21
"4","fear",4,2.94
"5","joy",40,29.41
"6","sadness",7,5.15
"7","surprise",10,7.35
"8","trust",32,23.53
