"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039017060","Urban and transport","Probable","Other (not in list)","Transport Drainage","Probable"
"2","GB106039017060","Urban and transport","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"3","GB106039017060","Water Industry","Probable","Other (not in list)","Sewage discharge (intermittent)","Probable"
"4","GB106039017060","Recreation","Confirmed","Recreation","Other (not in list, must add details in comments)","Confirmed"
"5","GB106039017060","Urban and transport","Probable","Urban","Transport Drainage","Probable"
"6","GB106039017060","No sector responsible","Not applicable","Not applicable","Drought","Probable"
"7","GB106039017060","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"8","GB106039017060","Other","Probable","Not applicable","Barriers - ecological discontinuity","Confirmed"
"9","GB106039017060","No sector responsible","Not applicable","Not applicable","Drought","Probable"
"10","GB106039017060","Agriculture and rural land management","Probable","Agriculture - Arable","Land drainage","Probable"
"11","GB106039017060","Other","Suspected","Not applicable","Surface water abstraction","Suspected"
"12","GB106039017060","No sector responsible","Not applicable","Not applicable","Drought","Probable"
"13","GB106039017060","Water Industry","Probable","Waste water treatment","Sewage discharge (intermittent)","Probable"
"14","GB106039017060","Agriculture and rural land management","Probable","Agriculture - Arable","Land drainage","Probable"
