"","sentiment","n","percent"
"1","anger",1659,7.25
"2","anticipation",4067,17.78
"3","disgust",1108,4.84
"4","fear",2899,12.67
"5","joy",4648,20.32
"6","sadness",2890,12.63
"7","surprise",2126,9.29
"8","trust",3482,15.22
