"","sentiment","n","percent"
"1","anger",41,9.43
"2","anticipation",21,4.83
"3","disgust",4,0.92
"4","fear",338,77.7
"5","joy",6,1.38
"6","sadness",9,2.07
"7","surprise",7,1.61
"8","trust",9,2.07
