"","mean_senti","Date"
"1",-0.9,2010-11-01
"2",-0.25,2012-05-01
"3",-0.319444444444444,2012-06-01
"4",-0.375,2012-11-01
"5",-0.605,2012-12-01
"6",-0.375,2013-01-01
"7",-1,2013-02-01
"8",-0.75,2013-10-01
"9",-0.383333333333333,2013-12-01
"10",-0.375,2014-01-01
"11",-0.284375,2014-02-01
"12",0.15,2014-11-01
"13",-0.25,2015-01-01
"14",0.8,2015-05-01
"15",-0.475,2015-08-01
"16",-0.267622377622378,2015-10-01
"17",0,2015-11-01
"18",-0.308333333333333,2016-01-01
"19",-0.25,2016-02-01
"20",-0.331666666666667,2016-03-01
"21",0,2016-04-01
"22",0.35,2016-09-01
"23",-0.25,2017-01-01
"24",-0.125,2017-07-01
"25",-0.125,2017-08-01
"26",0.02,2017-12-01
"27",0,2018-01-01
"28",0,2018-02-01
"29",-0.125,2018-03-01
"30",-0.166666666666667,2018-04-01
"31",-0.125,2018-05-01
"32",-2.15,2018-07-01
"33",1.3,2018-11-01
"34",-0.166666666666667,2019-02-01
"35",-0.125,2019-03-01
"36",-0.125,2019-06-01
"37",1.6,2019-10-01
"38",-0.5,2019-11-01
"39",-0.225,2019-12-01
"40",-0.125,2020-01-01
"41",-0.171875,2020-02-01
"42",-0.125,2020-03-01
"43",-0.166666666666667,2020-08-01
"44",0.40952380952381,2020-10-01
"45",-0.125,2020-12-01
"46",-0.208333333333333,2021-01-01
"47",-0.125,2021-06-01
"48",0,2021-07-01
