"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB106039030360","Water Industry","Confirmed","Waste water treatment","Sewage discharge (continuous)","Confirmed"
"2","GB106039030360","Agriculture and rural land management","Probable","Agriculture - Livestock","Poor Livestock Management","Probable"
"3","GB106039030360","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"4","GB106039030360","Water Industry","Confirmed","Other (not in list)","Sewage discharge (continuous)","Confirmed"
"5","GB106039030360","Agriculture and rural land management","Suspected","Not applicable","Land drainage - operational management","Suspected"
"6","GB106039030360","Agriculture and rural land management","Suspected","Not applicable","Land drainage - operational management","Probable"
"7","GB106039030360","Water Industry","Suspected","Other (not in list)","Sewage discharge (continuous)","Suspected"
"8","GB106039030360","Agriculture and rural land management","Probable","Agriculture - Arable","Poor nutrient management","Probable"
"9","GB106039030360","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"10","GB106039030360","Water Industry","Probable","Other (not in list)","Sewage discharge (continuous)","Probable"
"11","GB106039030360","No sector responsible","Not applicable","Not applicable","North american signal crayfish","Suspected"
