"","WBID","Category","Category Certainty","Business Sector","Activity","Activity Certainty"
"1","GB30642757","Agriculture and rural land management","Suspected","Agriculture - Arable","Poor nutrient management","Suspected"
"2","GB30642757","Urban and transport","Suspected","Other (not in list)","Transport Drainage","Suspected"
