"","X","text","n"
"1",1,"tit  grimsbury reservoir",31
"2",2,"grimsbury reservoir",23
"3",3,"grimsbury reservoir banbury",16
"4",4,"flycatcher  grimsbury reservoir",4
"5",5,"plover  grimsbury reservoir",4
"6",6,"1w medgull  grimsbury reservoir",3
"7",7,"common sand  grimsbury reservoir",3
"8",8,"facebook instagram and onair interviews",3
"9",9,"redstart  grimsbury reservoir",3
"10",10,"the grimsbury reservoir",3
"11",11,"the redrumped swallow",3
"12",12,"tit grimsbury reservoir",3
"13",13,"025  common sand  grimsbury reservoir",2
"14",14,"2 black terns",2
"15",15,"308  common sand  grimsbury reservoir",2
"16",16,"a hawthorn tree",2
"17",17,"a nature reserve",2
"18",18,"banbury cross sailing club",2
"19",19,"my year list",2
"20",20,"newly created pool",2
"21",21,"oystercatcher  grimsbury reservoir",2
"22",22,"saturday 27 april banbury cross sailing club open day",2
"23",23,"the cattle field",2
"24",24,"the river cherwell",2
"25",25,"these 2 goldfinches",2
